movie_name,award_category,award_year,country,speech
Investigation of a Citizen above Suspicion,Foreign Language Film,1970 (43rd),Italy,"[<p class=""MInormal""> LESLIE CARON:<br/>
Elio Petri can't be with us tonight; he's preparing a new film. But I'm sure he would want me to say how grateful and thrilled he is to receive this. Thank you.<br/>
</p>]"
The Garden of the Finzi Continis,Foreign Language Film,1971 (44th),Italy,"[<p class=""MInormal""> ARTHUR COHN:<br/>
Several years ago I stood here in front of you to accept the award for ""The Sky Above--the Mud Below.""  It was that very Oscar which marked the beginning of the global acceptance of that film which was produced against the advice of many.  ""The Garden of Finzi Continis"" was made by Vittorio De Sica, Gianni Hecht Lucari and myself against similar advice.  We were warned that a film without any sex and without any violence, dealing in a subtle manner with a tragic chapter of mankind is a doomed venture.  Tonight, again, the Academy has given hope and inspiration to independent film producers everywhere to go ahead with their projects as long as they sincerely believe in them.  On behalf of all connected with ""The Garden of Finzi Continis,"" and also on behalf of those independent film producers out there, I humbly thank you.<br/>
<br/>
GIANNI HECHT LUCARI:<br/>
Thank you.<br/>
</p>]"
The Discreet Charm of the Bourgeoisie,Foreign Language Film,1972 (45th),France,"[<p class=""MInormal""> SERGE SILBERMAN:<br/>
As my English is so-so, the speech will be very short.  First, thanks to Luis Buñuel did accept it to make the picture. And then I would like to thanks, to thank to Twentieth Century-Fox, who helped me to make the picture known, especially here in the United States. Thanks to you all and to the Academy.<br/>
</p>]"
Day for Night,Foreign Language Film,1973 (46th),France,"[<p class=""MInormal""> FRANÇOIS TRUFFAUT:<br/>
Merci beaucoup.  I need Gene Kelly.  I am very happy because... because why? Because ""Day for Night"" is a film about show people.  You are, all of you, movie people.  Because [of] that I think this prize is yours.  But if you agree with me I will keep it for you, alright?  Thank you.<br/>
</p>]"
Amarcord,Foreign Language Film,1974 (47th),Italy,"[<p class=""MInormal""> FRANCO CRISTALDI:<br/>
I want to tell you something very confidentially but please do not tell anybody.  Federico Fellini and I are very, very happy.  And I hope that with ""Amarcord"" you all will be very happy, too.  Thank you so much.<br/>
</p>]"
Dersu Uzala,Foreign Language Film,1975 (48th),Union of Soviet Socialist Republics,"[<p class=""MInormal""> JACK VALENTI:<br/>
Ladies and gentlemen, in the event that Mr. Kurosawa was honored by the Academy tonight, he has asked me in his behalf to read a statement for him, a statement that he has written.  And this is what he says:  ""May I take this opportunity to say a word to filmmakers throughout the world.  In no other time in cinematic history has there been as much need as there is today for young power in the production of motion pictures.  I will continue making films until my very last day.  So young filmmakers throughout the world, please follow me and let us join hands and make good films together.""  Signed, Akira Kurosawa.<br/>
<br/>
YOICHI MATSUE:<br/>
I am very touched.  These Oscars are very beautiful and a wonderful present for all our staffs and the artists who have been working in good collaboration for two years.  Thank you very much.<br/>
<br/>
GEORGI DANELYA:<br/>
I don't speak English but thank you very much.  Spasibo.<br/>
</p>]"
Black and White in Color,Foreign Language Film,1976 (49th),Ivory Coast,"[<p class=""MInormal""> ARTHUR COHN:<br/>
I feel a little bit like Harry Truman when he was holding up the newspaper saying that Dewey had won the election.  Ladies and gentlemen, dear friends, I was privileged twice before to receive this award for ""The Garden of the Finzi-Continis"" and for ""Sky Above, Mud Below.""  Ironically, all three films have in common that they were made against well-meant advice and that they were made without any commercial concessions or considerations whatsoever.  I believe it is a tribute to the Academy that it has chosen ""Black and White in Color,"" a film entirely made in remote West Africa, directed by Jean-Jacques Annaud, a man who had never directed a feature film before, and played by a cast of excellent actors, albeit unknown.  I would like to say that it is this kind of recognition and of encouragement which keeps our industry fresh and alive and ever creative.  Thank you.  Thank you.  Thank you.<br/>
</p>]"
Madame Rosa,Foreign Language Film,1977 (50th),France,"[<p class=""MInormal""> MOSHÉ MIZRAHI:<br/>
I want to thank you all for this.  I want to thank all the people who worked on the film.  And above all, I want to thank ""Madame Rosa"" herself, Simone Signoret.<br/>
<br/>
RAYMOND DANON:<br/>
I thank everybody, and especially the director, Moshé Mizrahi, who did a really good job.<br/>
</p>]"
Get Out Your Handkerchiefs,Foreign Language Film,1978 (51st),France,"[<p class=""MInormal""> BERTRAND BLIER:<br/>
Oh, excuse me, I am without voice.  I am just able, I am only able to say one thing, is thank you.  Thank you for the Academy and thank you for all the American friends of our film, our picture, excuse me.  Thank you very much.<br/>
<br/>
GEORGES DANCIGERS:<br/>
Thank you for the honor.  We are very deeply touched.  And of course there is nothing to cry, but let me get out my handkerchief.<br/>
<br/>
PAUL CLAUDON:<br/>
I must say we came here to win.  We expected, more or less, [unintelligible] could lose.  And we won thanks to you, to your kindness and to your taste, too.  Thank you.  Merci.  Merci beaucoup.<br/>
</p>]"
The Tin Drum,Foreign Language Film,1979 (52nd),Federal Republic of Germany,"[<p class=""MInormal""> VOLKER SCHLÖNDORFF:<br/>
The hero of ""The Tin Drum,"" you know, is named ""Oskar,"" and for all the time we were making the film we wondered what kind an omen this could be.  So, this what it's meant.  It's a little boy actor, he has in common with this one [referring to the statuette] of being small but only in size.<br/>
<br/>
You know, it's the first award ever given to a film of my country.  There's been lots of reasons for that we know, but I take it as a tribute also for my fellow directors over there and for all those whose tradition we want to pick up and follow and who worked and lived here.  I mean Fritz Lang, Billy Wilder, Lubitsch, Murnau, Pabst.  You know them all; you welcomed them.  Thank you.<br/>
</p>]"
Moscow Does Not Believe in Tears,Foreign Language Film,1980 (53rd),Union of Soviet Socialist Republics,"[<p class=""MInormal""> ANATOLI DYUZHUV:<br/>
Ladies and gentlemen, it's my great honor to receive so important award.  On behalf of our film director Vladimir Menshov, actress Vera Alentova, and actor Alexei Batalov, ""Gosha,"" I would like to express many thanks to Academy Motion Pictures Arts and Science.  Thank you very much.<br/>
</p>]"
Mephisto,Foreign Language Film,1981 (54th),Hungary,"[<p class=""MInormal""> ISTVÁN SZABÓ:<br/>
Ladies and gentlemen, thank you very much for this marvelous things.  And thank for Mr. Klaus Maria Brandauer, Austrian actor.  Klaus, come with me I am so alone here.  [Klaus Maria Brandauer joins him on stage.]  And many thanks to the marvelous cinematographer, Hungarian cinematographer, Mr. Koltai.  And for the screenplay, Mr. Dobai.  And Miss Csákány, cutter editor.  And Mr. Marx, producer, and Mr. Manfred Durniok, producer, and Mr. Óvári.  And my family.  And Miss Karin Brandauer and Miss Vera Gyurey Szabó.  Thank you very much.<br/>
</p>]"
Volver a Empezar ('To Begin Again'),Foreign Language Film,1982 (55th),Spain,"[<p class=""MInormal""> JOSÉ LUIS GARCI:<br/>
All my life, since I was a kid, I have dreamed of this moment.  Well, the dreams come true sometimes, and that's the thing.  I want to express my congratulations and my gratitude to my partner and my friend José Esteban Alenda, and my friends Enrique Herreros and Milton Goldstein, and my late friend Alfonso Sánchez, and also 20th Century Fox, and the Academy.  And now allow me to say in my own language: Estamos todos los que hemos hecho esta película muy contentos, muy agradecidos a ustedes y tambien todos los que hacemos cine en mi país, en España.  Thank you very, very much, all of you.<br/>
</p>]"
Fanny & Alexander,Foreign Language Film,1983 (56th),Sweden,"[<p class=""MInormal""> JORN DONNER:<br/>
Ladies and gentlemen.  Thanks, the members of the Academy, for having very good taste.  I think so.  Secondly, I have in my pocket a book with 265 names which I am going to read to you, all the people I want to thank.  But I will spare you that.  Tonight, as says Sven Nykvist, my thoughts go to Ingmar in Munich but also really to the 250 or 500 people who have contributed to the success, the effort, by making ""Fanny &amp; Alexander"" work as the crowning achievement of Ingmar Bergman's career.  Thank you.  Mrs. Bergman...<br/>
<br/>
MRS. INGMAR BERGMAN:<br/>
I just am going to hurry to Ingmar and tell him about the warm and wonderful reception you have given his film.  Thank you very much.<br/>
</p>]"
Dangerous Moves,Foreign Language Film,1984 (57th),Switzerland,"[<p class=""MInormal""> ARTHUR COHN:<br/>
The members of the Academy, eight years ago you have honored me with my third Oscar.  Tonight you are honoring me with my fourth.  However, it is not I whom you're honoring.  It is you, distinguished members of the Academy, who with this Oscar have again encouraged independent producers everywhere to do the kind of films they believe in, knowing that far away in Hollywood there is an Academy whose only criteria is a good and meaningful film which may be remembered for a long time.  Thank you so very much for your support, for your recognition, and above all for your continuous encouragement.<br/>
</p>]"
The Official Story,Foreign Language Film,1985 (58th),Argentina,"[<p class=""MInormal""> LUIS PUENZO:<br/>
As I stand here accepting this honor I cannot forget that on another March 24th ten years ago, like this day, we suffer[ed] the last military coup in my country.  We will never forget this nightmare but we are starting now to begin with our new dreams.  Thank you.<br/>
</p>]"
The Assault,Foreign Language Film,1986 (59th),The Netherlands,"[<p class=""MInormal""> FONS RADEMAKERS:<br/>
It's a great honor to be standing here and a great pleasure as well.  I thank the members of the Academy for bestowing this on the picture ""The Assault.""  I thank all my friends who worked with me on both sides of the camera, because without their help and their talent I wouldn't be standing here.  And I thank my friends Menahem Golan and Yoram Globus from Cannon who made this all possible and gave me all freedom.  And I thank my friend Luit Latzig* as well.<br/>
<br/>
And this Oscar, this Foreign Language Oscar, has a request.  Imagine that foreign language pictures in this country are screened with subtitles, and Oscar's request is: Please, don't let subtitles scare you off as much as they seem to do from time to time.  Because Oscar thinks that it is worthwhile and interesting to see also from time to time what people think and how people act in foreign languages.  I thank you very, very much.  [To the Oscar:] Did I translate it right?<br/>
</p>]"
Babette's Feast,Foreign Language Film,1987 (60th),Denmark,"[<p class=""MInormal""> GABRIEL AXEL:<br/>
[Laughs] It's too much, yes.  Quickly, short and in English, okay.  Yes, I want to say thank you to my producer Just Betzer and Claes Kastholm Hansen from The Danish Film Institute who give me the opportunity to make ""Babette's Feast.""  And of course all the nice people in Denmark to help make the film with me.  I think it was very difficult to choose the film, this film, because all the film is so different.  But okay, today is my chance.  It's the first time a Danish movie can take an Oscar home.  Yes, the first time.  And therefore I say with Isak Dinesen, alias Karen Blixen, like her ""General Loewenhielm"":  In this evening I have learned that in the beautiful world of our[s], everything are possible.  We shall only await it with confidence and receive it in gratitude.<br/>
<br/>
I am very grateful for this honor.  And I want to thank you, the Academy members, from the bottom of my heart.  Thank you.<br/>
</p>]"
Pelle the Conqueror,Foreign Language Film,1988 (61st),Denmark,"[<p class=""MInormal""> BILLE AUGUST:<br/>
Oh, it's so, so exciting, so—I'm very nervous.   I made a film about very poor immigrants coming to Denmark and here I'm standing in my tuxedo and this shiny thing [lifting the Oscar].  Thank you very much.  And thank you to everybody who has been involved in this picture.  Thank you.<br/>
</p>]"
Cinema Paradiso,Foreign Language Film,1989 (62nd),Italy,"[<p class=""MInormal""> FRANCO CRISTALDI:<br/>
Where to?  But we will be very, very fast.  Evidently March 26 is my lucky days.  Fifteen years ago I was here to receive an Oscar for Fellini's ""Amarcord.""  And I came in this hall with a beautiful young lady, Zeudi, who I married later and exactly March 26th.  So today I'm doubly happy because of the Oscar and because tonight on the anniversary date, my wife is here in the auditorium.  Thank you.  Thanks.  Thanks a lot of you.  Thanks to Mr. Tornatore.  And, excuse me, thanks to myself who produced the picture.<br/>
</p>]"
Journey of Hope,Foreign Language Film,1990 (63rd),Switzerland,"[<p class=""MInormal""> XAVIER KOLLER:<br/>
Oh, I really, I can't believe it myself.  I would like to express my deep thanks to all the members of the Academy.  And my special thanks go, first of all, to the family down in Turkey, Anatolia, who lost their son in October '88 crossing the mountains into Switzerland.  Then I would like to thank all the Turkish crew and actors Emin Sivas, Nur Sürer, Necmettin Çobanoglu, who did a great job on this film.  And also the Italian crew members and the Swiss crew and actors.  And my producers Alfi Sinniger and Peter Fueter from Condor and Catpics.  Thanks a lot.<br/>
</p>]"
Mediterraneo,Foreign Language Film,1991 (64th),Italy,"[<p class=""MInormal""> GABRIELE SALVATORES:<br/>
So, I'm sorry I don't speak English.  Thank you for this great honor.  Thank you for my producer Gianni Minervini, and Penta, Vittorio Cecchi Gori.  Thanks for all the people who make the movie.  And an invitation:  Please make—no. Do as like the soldier of  ""Mediterraneo,"" please stop the wars.  Life is better. Thank you.  Thank you very much.<br/>
</p>]"
Indochine,Foreign Language Film,1992 (65th),France,"[<p class=""MInormal""> RÉGIS WARGNIER:<br/>
Well, you made my day.  This is something.  This is Hollywood.  Eric produced ""Indochine"" and I directed it.  I've been a moviegoer since the age of ten, so tonight I want to thank first my friends of Sony Classics -- Marcie, Tom and Michael -- and especially the heroes of my youth, I mean Richard Widmark, Gregory Peck, Dorothy Malone, Linda Darnell, Stewart Granger, and so many, because they made me dream that maybe someday I would be a moviemaker.<br/>
</p>]"
Belle Epoque,Foreign Language Film,1993 (66th),Spain,"[<p class=""MInormal""> FERNANDO TRUEBA:<br/>
Andrés Gómez, my friend and my producer.  I want to thank you all in the name of all the friends who made ""Belle Epoque.""  Some of them are here, some in Spain, some in France, and some in Portugal.  I want also to thank the family of Sony Pictures Classics.  And I would like to believe in God in order to thank Him, but I just believe in Billy Wilder, so... thank you, Mr. Wilder.<br/>
</p>]"
Burnt by the Sun,Foreign Language Film,1994 (67th),Russia,"[<p class=""MInormal""> NIKITA MIKHALKOV:<br/>
I'm sorry I didn't speak English.  Never speak English on the stage.  I want to thank all my friends who work with me:  my script writer Roustam Ibraguimbekov, great composer Edouard Artemiev, my co-producer Vladimir Sedov, Nicole Cann, and all my friends who worked with me.  And you know, Marcello Mastroianni said in Fellini's film, great film, ""8 ½:""  ""I want to say the truth which I don't know, but which I try to find.""  Me too.  I want to try, I want to say the truth which I don't know.  And maybe I want to say the truth, cruel truth.  But I'm absolutely sure that the cruel truth without love is a lie.  And my daughter, she's my actress.  And the first time in my life I didn't have problem with actress.  Thank you.<br/>
</p>]"
Antonia's Line,Foreign Language Film,1995 (68th),The Netherlands,"[<p class=""MInormal""> MARLEEN GORRIS:<br/>
Some people have called ""Antonia's Line"" a fairy tale.  Perhaps it is, and that it should win an Oscar is a fairy tale come true for all of us involved in its making.  I should like to thank the members of the Academy for this tremendous honor.  I'd also like to thank my producer Hans de Weers for his patience and perseverance.  My script editor and translator, Anthony Davis, for his lifelong friendship.  My first assistant and friend, Maria Uitdehaag, for her invaluable help and support.  And of course my mother, without whom I wouldn't have all this fun.<br/>
<br/>
My thanks also to my Belgian and English co-producers, Nino Lombardo and Judy Counihan.  And I can't begin to express my gratitude to the marvelous cast of ""Antonia's Line,"" in particular Willeke van Ammelrooy for her fine ""Antonia."" And of course many, many, many thanks to the Dutch, Belgian and English crew members, and specifically the director of photography Willy Stassen.  Lastly, I want to express my thanks to the American distributor of ""Antonia's Line,"" First Look Pictures.  Ellen Little decided last year at Cannes that this obscure Dutch film was a film that people in the States really should see. And here it is.  Thank you all very much.<br/>
</p>]"
Kolya,Foreign Language Film,1996 (69th),Czech Republic,"[<p class=""MInormal""> JAN SVERÁK:<br/>
Dear Oscar, I was not able to sleep because of you last night and I was all night long, I was wondering where you are going to end up tonight.  And you are going to Prague.  You don't know where it is; it's in Europe.  And this is your new family.  This is my papa, who wrote the script.  This is producer Eric Abraham, and this is ""Kolya.""  And we promise you that our next films will not make ashamed you, and maybe one day we will make a brother for you. Thanks to everyone at home and here.  Thank you.<br/>
</p>]"
Character,Foreign Language Film,1997 (70th),The Netherlands,"[<p class=""MInormal""> MIKE VAN DIEM:<br/>
[Gives presenter Sharon Stone a hug.]  Okay, Sharon, it's just, you know, another crazy Dutch director, you know.  The film is ""Character.""  It opens next Friday.  I'm not going to advertise it.  This ought to tell you that it probably has, you know, like damn stunning subtitles.  Three guys who over a period of the last two years really build my ""Character"" -- yes, you are signaling to me to be fast, I'll be fast -- build my ""Character"" were my great and wonderful, handsome producer Laurens Geels, my young, talented actor Fedja van Huêt, and the legendary Jan Decleir -- he's really Belgium's ""Titanic.""  I will salute everybody.  My crew and my cast, who is watching this at home. [Unintelligible], Sony Pictures Classics, the Academy.  And as a personal note, my dear friend Coen van Vrijberghe de Coningh, I just know you are smiling down on me now, man.  Look what I got!  Yes!<br/>
</p>]"
Life Is Beautiful,Foreign Language Film,1998 (71st),Italy,"[<p class=""MInormal""> ROBERTO BENIGNI:<br/>
Thank you!  Sophia, I leave(?) it here, the Oscar, but I want you.  I want to be rocked by the waves of your beauty.  Come here.  Thank you!  Thank you! This is a moment of joy and I want to kiss everybody because you are the maker(?) of the joy.  He who kisses the joy as it flies lives in eternity sunrise, said [the] poet.  And this is wonderful to be here.  Wonderful!  I feel like, now really, to dive in this ocean of generosity, this is too much. Your generosity, this is, uh, how do you say when the rain, the hailstorm, it's a hailstorm of kindness, of gratitude for you.<br/>
<br/>
And really I would like to thank everybody that did the movie, because without them I couldn't fly with this movie.  Everybody who did -- the producer, the screenwriter Cerami, Elda Ferri, Gianluigi Braschi, Nicola Piovani, Vittorio Cecchi Gori.  Harvey Weinstein of Miramax Film[s], thank you very much for what you did.  And also I would like to thank my parents in Vergaio, in a little village in Italy.  They gave me their biggest gift, their poverty, and I want to thank for the lesson(?) of my life.  Really, but thank you, Mamma and Babbo.  Thank you!   And thank you for your love.  Because if I am here it's because people love the movies.  So it's always a question of love.<br/>
<br/>
I would like to dedicate this prize to those, because the subject the movie, those who are not here.  They gave their life in order [that] we can say, ""Life is beautiful.""  And I would like to also say, a kiss to Giorgio Cantarini, Giorgio, the little boy.  And because we are talking love, Dante said: L'amore che muove il sole e le altre stelle -- Love will move the sun and the other stars.  Love is a divinity, and sometimes if you have faith, like all the divinities it can appear.  That's why I want to dedicate this prize to Nicoletta Braschi.  Thank you.<br/>
</p>]"
All about My Mother,Foreign Language Film,1999 (72nd),Spain,"[<p class=""MInormal""> PEDRO ALMODÓVAR:<br/>
My God, don't you think they are one of the more beautiful couple, at least Spanish couple? [referring to presenters Antonio Banderas and Penélope Cruz]<br/>
<br/>
You know, I come from a country, from a culture very different from this. And you know, in that country now is six years [sic] in the morning, so let me dedicate this to the Spanish people that are watching TV now and they sacrifice their Monday just to look you and me with this.  I mean, this is for Spain.  I'm going to be very quick, sorry you have to applaud you are so -- I have to be very quick.  You know, I also want to thank my sister[s] Marita Cruz(?) and Antonia for the amount of candles that they lit to their favorite saints during the last months.  You know, culture different.  Thanks to the Virgin of Guadalupe, the Virgin of la Cabeza de Miraculos, the Sacred Heart of Mary, Saint Judas Tadeo(?) and El Jesus de Medinaceli. I told you that we live in a different country, a different culture.  Harvey Weinstein, well listen, so, for just to have the one idea, consider my sisters' Oscar campaign.  You know, they, they just lighting a lot of candles to these saints, presided by a photograph of my mother with Penélope and me next to a twig of laurel, which brings good luck.  [Music begins to play.]  So, I think now I am going to believe in all this.  Well, excuse me, thanks to Sony Classics, because really they believe a lot in our movie.  I'm very quick, anyway, [Antonio Banderas starts to playfully pull him off stage] and of course to my brother, and to all of us, and to all the Spanish people.  Bye, bye. I have to leave.<br/>
</p>]"
"Crouching Tiger, Hidden Dragon",Foreign Language Film,2000 (73rd),Taiwan,"[<p class=""MInormal""> ANG LEE:<br/>
Oh, thank you.  Thank you, Academy, for this special recognition for non-English movies.  My thanks to my fellow producers Hsu Li Kong, Bill Kong, and to an enormously talented cast and crew who sacrificed so much.  To James Schamus, David Linde, Ted Hope and everyone at Good Machine.  And to Barbara Robinson at Columbia Asia and Gareth Wigan at Sony.  And to Tom Bernard, Michael Barker and Marcie Bloom at Sony Classic[s] for their masterpiece job. And finally, to my friends and family in Taiwan, to my collaborators in Hong Kong and everyone, people in China who help us so much in making this movie. This is a great honor.  Thank you.<br/>
</p>]"
No Man's Land,Foreign Language Film,2001 (74th),Bosnia & Herzegovina,"[<p class=""MInormal""> DANIS TANOVIC:<br/>
Wow.  Thank you, Academy, especially those who voted for me.  I have to thank my producers, especially a man who started all this, Cedomir Kolar, who read the screenplay and who followed me until today.  I have to thank my crew, my actors, one of them is, two of them up here.  I want to thank United Artists, Bingham Ray for their great, great job in promoting my film here.  And thank you.  Yes, I want to thank my wife for being so beautiful and good to me and loving me and being patient.  And this is for my country, for Bosnia.  Thank you.<br/>
</p>]"
Nowhere in Africa,Foreign Language Film,2002 (75th),Germany,"[<p class=""MInormal""> [Director Caroline Link not present.]<br/>
</p>]"
The Barbarian Invasions,Foreign Language Film,2003 (76th),Canada,"[<p class=""MInormal""> DENISE ROBERT:<br/>
We're so thankful that ""Lord of the Rings"" did not qualify in this category. We'd like to thank the Academy.  We'd like to thank the co-producer Fabienne Vonier, Victor Louis, the Canadian, French and Quebec governments for their support of the film industry.  Thank you, Agnes Mentre and Miramax.  Thank you, Harvey Weinstein, for putting your heart behind this film and shining the light on this.  We'd really like to share this with you, and share it with the actors and the technicians who worked so well on this film.<br/>
<br/>
[Music plays.]<br/>
<br/>
DENYS ARCAND:<br/>
My time's up, as usual.<br/>
<br/>
DANIEL LOUIS:<br/>
Thank you, everyone.  Merci beaucoup á tout le monde.<br/>
</p>]"
The Sea Inside,Foreign Language Film,2004 (77th),Spain,"[<p class=""MInormal""> ALEJANDRO AMENÁBAR:<br/>
Thank you so much. This film is based on a man who, despite his desire for death, spread so much life around him. So, the first third part of this award belongs to him, wherever he is. The second third part is for Javier Bardem for his outstanding performance and his generosity. And another third part goes to, of course, my friend and producer, Fernando Bovaira, to the fabulous cast and crew for being so focused on this movie since the very beginning. And as for me, I'm just so pleased because it seems that I'm in charge of keeping it in one piece for the rest of my life. So, thank you so much.<br/>
</p>]"
Tsotsi,Foreign Language Film,2005 (78th),South Africa,"[<p class=""MInormal""> GAVIN HOOD:<br/>
Nkosi sikelele Africa.  God bless Africa.  Wow.  I have a speech, it's in my pocket, but that thing says thirty-eight seconds and mine's way too long.  So go to tsotsi.com and there's a huge long list of people, because I'm accepting this not for myself.  This is for Best Foreign Language Film.  And sitting right there to start with, please stand up, Presley Chweneyagae and Terry Pheto, my two fantastic young leads.  Put the cameras on them, please. [African language phrase.]  Viva Africa!  Viva!  Amandla!  I've got ten seconds.  Ten seconds.  I just want to thank my fellow nominees who I've become deep friends with.  We may have foreign language films, but our stories are the same as your stories.  They're about the human heart and emotion.  It says please wrap.  Thank you so much.  Thank you, the Academy.  Thank you.<br/>
</p>]"
The Lives of Others,Foreign Language Film,2006 (79th),Germany,"[<p class=""MInormal""> FLORIAN HENCKEL VON DONNERSMARCK:<br/>
Oh my god.  I was already crying after Tornatore's film.<br/>
<br/>
I thank you Academy members from the bottom of my heart for this honor. And I thank Michael and Tom from Sony Classics for choosing ""The Lives of Others"" and bringing it to you. I thank Germany and Bavaria for making this film possible. My great department heads for making this film with me. Schwarzenegger for teaching me that the words ""I can't"" should be stricken from my vocabulary. And my entire crew. I thank my producers, commissioning editors, distributors, financiers. I thank my brother Sebastian for helping with the script and Frau Baumbauer for believing in me. But most of all I thank my actors, especially Ulrich and Sebastian, you're the greatest artists and don't let anyone tell you otherwise. Finally, my wife Christiane...[music begins]. No, I have to say that one more thing, just that one more thing. Christiane, I love you.<br/>
</p>]"
